order_id,store_id,to_user_distance,to_user_elevation,total_earning,created_at,taken
14364873,30000009,2.478100676,-72.71936035,4200,2017-09-07T20:02:17Z,0
14370123,30000058,0.4517106,37.75476074,4200,2017-09-07T20:13:16Z,0
14368534,900003684,2.026071864,207.1911621,4000,2017-09-07T20:07:23Z,0
14370258,900014452,2.671431718,1.72265625,4400,2017-09-07T20:15:19Z,1
14369923,900014085,0.965496042,117.4291992,3450,2017-09-07T20:12:14Z,1
14367859,900004363,0.577155547,-7.895874023,5200,2017-09-07T20:13:16Z,1
14367634,900006875,2.558039132,4.086181641,4200,2017-09-07T20:07:23Z,0
14369615,900005637,1.145406968,-33.87365723,3200,2017-09-07T20:10:15Z,1
14368621,900007609,1.21874202,132.3422852,4200,2017-09-07T20:14:14Z,1
14367450,900004941,1.282540001,0.792480469,3200,2017-09-07T19:56:22Z,0
14367975,900004941,2.347439822,-123.0323486,3200,2017-09-07T19:59:19Z,0
14368062,900006873,1.15779592,72.22009277,5200,2017-09-07T20:15:19Z,1
14368255,30000255,0.623186047,-9.042358398,3700,2017-09-07T20:14:14Z,1
14369442,900009486,2.25887873,6.227294922,4200,2017-09-07T20:09:15Z,1
14368247,900005637,1.083264733,-68.84143066,3200,2017-09-07T20:12:14Z,0
14369738,30000301,1.881029376,-160.7235107,3200,2017-09-07T20:13:16Z,1
14368210,900005637,1.352092187,242.213623,6000,2017-09-07T20:11:15Z,1
14368342,900010675,2.664009401,139.3741455,4200,2017-09-07T20:11:15Z,0
14368573,900013508,0.562962576,-21.30114746,5200,2017-09-07T20:17:17Z,1
14368043,900007200,2.056202446,145.3156738,3700,2017-09-07T20:17:17Z,1
14368568,30000048,1.86556925,212.1732178,4200,2017-09-07T20:17:17Z,0
14368878,900003685,2.522615729,51.29138184,4000,2017-09-07T20:13:16Z,1
14370660,900006491,0.600651997,-35.24145508,3200,2017-09-07T20:18:15Z,1
14367873,900011220,1.113147175,12.24035645,5200,2017-09-07T20:18:15Z,1
14369202,900008202,2.885515128,47.44970703,3600,2017-09-07T20:07:23Z,0
14370107,900007625,1.545065651,172.2111816,3200,2017-09-07T20:19:16Z,1
14364215,900002160,1.250698259,-108.4675293,5400,2017-09-07T20:20:16Z,1
14368002,900007756,3.024759345,177.5095215,4600,2017-09-07T20:20:16Z,1
14370649,900005727,2.747561986,13.09155273,3200,2017-09-07T20:20:16Z,1
14370164,900012790,1.633376648,5.124511719,5200,2017-09-07T20:21:15Z,0
14369761,900012834,0.890246761,39.64306641,3200,2017-09-07T20:22:13Z,1
14369927,30000094,1.168212749,-12.61474609,3450,2017-09-07T20:24:18Z,1
14371461,900003685,2.393699038,42.58337402,3700,2017-09-07T20:25:20Z,1
14370217,900010673,1.331901886,123.4344482,3200,2017-09-07T20:26:20Z,0
14371457,900004738,0.607196047,101.9246826,4200,2017-09-07T20:26:20Z,1
14368627,900009648,1.500196695,21.6361084,4200,2017-09-07T20:13:16Z,1
14665690,900006876,0.83257416,37.07995605,4200,2017-09-12T20:27:07Z,0
14666477,900011720,0.634297854,3.592529297,3200,2017-09-12T20:47:07Z,0
14667184,30000270,1.454305381,106.3043213,3200,2017-09-12T20:54:05Z,1
14667340,900015414,0.484570394,-0.097167969,3200,2017-09-12T20:59:06Z,1
14666916,900005637,1.058724163,97.16503906,5200,2017-09-12T20:59:06Z,1
14665555,900013075,0.902034664,113.1644287,5200,2017-09-12T20:30:09Z,1
14667327,30000110,1.631879867,121.8741455,4200,2017-09-12T21:09:07Z,1
